# LINEA TEMPORALE DETTAGLIATA - PROGETTO VILLARBASSE

## ANTEFATTI E CONTESTO STORICO

| Data | Evento | Linea narrativa | Note/Contesto storico |
| Maggio 1945 | **Giovanni Trovato arriva a Torino** dalla Sicilia in cerca di lavoro | Trovato | Scopre presto che le opportunità sono scarse per i meridionali |
| Estate 1945 | **Fosco risolve un caso di omicidio di una prostituta** | Fosco | Prima collaborazione con Viola Ramonda, che lo impressiona per la sua precisione clinica |
| Agosto 1945 | **Prima stagione calcistica del dopoguerra** - Il Grande Torino domina il campionato | Menzione in tutte le linee | Marcellino Fornari sogna di fare un provino per la squadra |
| 15 settembre 1945 | **Corsaro si presenta alla cascina** cercando lavoro per la vendemmia | Teresa | Teresa percepisce immediatamente qualcosa di sospetto: "occhi che guardano serrature, non campi" |
| Fine ottobre 1945 | **Immacolata Trovato si trasferisce al Nord** con il marito, raggiungendo il fratello Giovanni | Trovato | Incinta e prossima al parto, aumenta il senso di responsabilità di Giovanni verso la famiglia |
| 28 ottobre 1945 | **23° anniversario della Marcia su Roma** - Primo dopo la fine della Repubblica di Salò | Tensioni in città menzionate da Fosco | Scritte sui muri: "Il fascismo non è morto" |
| Ottobre 1945 | **Fermenti sociali a Torino** - Primi scioperi alla FIAT | Discussioni politiche tra i fratelli Battaglia | Giuseppe: "Ecco dove dovresti essere, Renato. In fabbrica, non a servire i padroni" |
| Ottobre 1945 | **Corsaro e Trovato si incontrano** in un'osteria malfamata di Torino | Trovato | Inizio della relazione di dipendenza psicologica |

## GIORNI PRECEDENTI LA STRAGE

| Data | Evento | Linea narrativa | Note/Contesto |
|------|--------|-----------------|--------------|
| 12 novembre 1945 | **Monteforte decide di rendere ufficiale la relazione con Teresa** e nominare Renato successore di Falchero | Teresa | Pianifica l'annuncio per la cena del 20 novembre |
| 17 novembre 1945 | **Annina Falchero dà alla luce Angelica** | Teresa/Fosco | Parto difficile che la costringe a un ricovero prolungato |
| 18 novembre 1945 | **Immacolata Trovato partorisce una bambina** | Trovato | Viene ricoverata nella stessa stanza di Annina all'ospedale San Giovanni di Torino |
| 15 novembre 1945 | **Violenta discussione tra Renato e i fratelli** Carlo e Giuseppe | Teresa (raccontato) | Carlo: "Non sei più mio fratello" - Il litigio cementa la decisione di Renato di legarsi ancora più strettamente alla cascina |
| 17 novembre 1945 | **Renato visita Annina e la neonata in ospedale** | Teresa | Promette di portarla presto alla cascina appena i medici daranno il permesso |
| 17 novembre 1945 | **Corsaro lascia improvvisamente il lavoro alla cascina** | Teresa | Ha raccolto abbastanza informazioni sulla disposizione dei locali |
| 19 novembre 1945 | **Giovanni Trovato visita la sorella Immacolata e il nipote in ospedale** | Trovato | Incontra brevemente Annina e scambia qualche parola di circostanza |
| 19 novembre 1945 | **Teresa nota strani movimenti** intorno alla cascina | Teresa | Riferisce i suoi sospetti a Monteforte che li minimizza: "Vedi fantasmi ovunque, Teresa" |
| 19 novembre 1945 | **Monteforte annuncia la cena speciale** per festeggiare la nascita di Angelica | Teresa | In realtà intende usare l'occasione per due annunci importanti |
| 19 novembre 1945 | **Incontro della banda di Corsaro** per pianificare il colpo | Trovato | "Domani sera il vecchio darà una festa. Tutti saranno distratti" |
| 19 novembre 1945 | **Teresa nasconde il suo diario personale** in un cassetto segreto della credenza | Teresa | "Se dovesse succedermi qualcosa, Berto saprà dove trovarlo." Nel diario ha annotato i suoi sospetti su Corsaro |

## IL GIORNO DELLA STRAGE (20 NOVEMBRE 1945)

| Orario | Evento | Linea narrativa | Note/Contesto |
|--------|--------|-----------------|--------------|
| 20 novembre 1945, mattina | **Teresa prepara la casa per la cena speciale** | Teresa | Nota mentre sistema la giacca di Renato una somiglianza fugace con il padre di Michele, ricordo che la spiazza momentaneamente |
| 12:00 | **Renato lavora nei campi** con Antonio Falchero e Marcellino | Teresa | Discussione sul futuro dell'agricoltura e sulle nuove tecniche di coltivazione |
| 14:30 | **Teresa invia Longhi in paese** per ultimi acquisti per la cena | Teresa | Gli affida anche una lettera per Annina in ospedale |
| 16:00 | **Preparazione della cena** - Teresa dirige Rosa e Fiorina | Teresa | Anna Vercelli si unisce ai preparativi portando un vecchio scialle colorato che indossa raramente |
| 17:00 | **La banda di Corsaro si avvicina alla cascina** | Trovato | Trovato nota: "Il cielo si fa scuro troppo presto. Come se sapesse" |
| 18:30 | **Inizio della cena alla cascina** | Teresa | Monteforte predispone i posti per evidenziare che Renato siederà alla sua destra, posizione simbolica |
| 19:15 | **Monteforte si appresta ad annunciare** la promozione di Renato e il riconoscimento di Teresa | Teresa | "Ho un annuncio importante da fare. Due, a dire il vero..." |
| 19:45 | **Anna Vercelli canta una canzone tradizionale** su insistenza di Monteforte | Teresa | Momento raro di bellezza e gioia prima della tragedia |
| 20:00 | **Irruzione dei banditi nella cascina** | Teresa/Trovato | Corsaro guida l'assalto: "Fermi tutti, questo è una rapina" |
| 20:10 | **Teresa riconosce Corsaro**: "Ti ho visto chiedere lavoro qui. Guardavi le finestre, non i campi" | Teresa/Trovato | La sua identificazione scatena la violenza del bandito |
| 20:15 | **Inizio del massacro** - Renato tenta di proteggere gli altri | Teresa/Trovato | Renato a Trovato: "Tu hai famiglia?" creando un momento di esitazione |
| 20:20 | **Teresa riesce a nascondere Pierino** sotto una credenza | Teresa | Gli sussurra: "Non fare rumore, qualunque cosa accada" |
| 20:25 | **Confronto Teresa-Trovato**: "Anche tu sei figlio di qualcuno. Salva il bambino" | Teresa/Trovato | Parole che diventeranno un'ossessione per Trovato |
| 20:30 | **Marino tenta di aggredire Pierino** con intenti predatori | Trovato | Trovato interviene: "Lascialo. Non serve a niente. È solo un peso" |
| 20:35 | **Pierino strappa un bottone** dalla giacca di Marino | Trovato | Indizio cruciale che porterà alla soluzione del caso |
| 20:40 | **Uccisione di Renato** - Muore guardando Corsaro negli occhi | Teresa/Trovato | Ultimo gesto di dignità e sfida |
| 20:50 | **Completamento del massacro** - Tutti vengono uccisi e gettati nella cisterna | Trovato | Corsaro: "Nessun testimone. Mai" |
| 21:30 | **Pagnotto e Galanti arrivano insieme alla cascina** | Trovato | Preoccupati per le mogli, uno bussa alla porta dell'altro e decidono di andare insieme alla casa padronale, dove vengono immediatamente aggrediti e uccisi |
| 22:30 | **La banda lascia la cascina** con il bottino | Trovato | Trovato è l'ultimo a uscire, lanciando un ultimo sguardo alla credenza dove sa che il bambino è nascosto |
| 23:00 | **La banda si divide** - Corsaro parte immediatamente per la Sicilia | Trovato | Appuntamento per dividersi il bottino a Torino il giorno dopo |

## GIORNI SUCCESSIVI ALLA STRAGE

| Data | Evento | Linea narrativa | Note/Contesto |
|------|--------|-----------------|--------------|
| 21 novembre 1945, 06:00 | **Alfredo Sartori arriva alla cascina** per la consegna del latte | Fosco | Trova il cancello chiuso e sente il muggito delle mucche non munte |
| 21 novembre, 06:15 | **Sartori e Longhi entrano nella cascina** | Fosco | Scoprono il disastro e trovano Pierino nascosto |
| 21 novembre, 06:45 | **Longhi chiama i carabinieri** dalla locanda vicina | Fosco | La notizia si diffonde rapidamente nel paese |
| 21 novembre, 07:30 | **Arrivo dei primi carabinieri** da Rivoli | Fosco | Sono sotto organico e chiedono rinforzi |
| 21 novembre, 08:15 | **Arrivo della Croce Rossa** con Viola Ramonda | Fosco | Viola prende in carico Pierino, unico sopravvissuto |
| 21 novembre, 09:30 | **Arrivo di Fosco sulla scena del crimine** | Fosco | Trova Cravero già sul posto, inizia la sua indagine |
| 21 novembre, 10:15 | **Fosco nota il bottone** stretto nel pugno di Pierino | Fosco | Primo indizio cruciale che guiderà l'indagine |
| 21 novembre, 11:00 | **Arrivo del Generale Marshall** con la Polizia Militare Alleata | Fosco | Marshall prende il controllo del caso: "Questa è una questione di sicurezza nazionale" |
| 21 novembre, 12:30 | **Clara Montanari si intrufola sulla scena del crimine** | Fosco | Primo incontro teso con Fosco: "Mi racconti la sua teoria, tenente?" |
| 21 novembre, 14:00 | **Interrogatorio di Alfredo Sartori** | Fosco | "In questa cascina non c'è mai silenzio, tenente. Mai." |
| 21 novembre, 16:00 | **Annina viene informata della scomparsa di Renato** in ospedale | Menzionato da Fosco | Ancora non sa che è morto, solo che è scomparso |
| 21 novembre, 18:00 | **Trovato si nasconde in una pensione di Torino** | Trovato | Inizia a manifestare i primi segni di paranoia e rimorso |
| 22 novembre 1945 | **Primi articoli sui giornali** - Clara Montanari suggerisce una pista comunista | Fosco | Titoli sensazionalistici che parlano di "vendetta rossa" |
| 22 novembre | **Maria Grazia apprende della scomparsa del fratello** | Fosco | Si precipita da Fosco per avere notizie, lo insulta chiamandolo "sbirro meridionale" |
| 22 novembre | **Fausto Coppi si sposa con Bruna Ciampolini** a Sestri Ponente | Menzione in radio nella linea Trovato | Contrasto tra la vita normale che continua e l'orrore vissuto |
| 23 novembre | **Arresto di Giuseppe e Carlo Battaglia** | Fosco | Marshall spinge per la pista dei "partigiani rossi" |
| 24 novembre | **Primo interrogatorio di Giuseppe Battaglia** | Fosco | "Non mi importa se mi credi o no, tenente. Gli sbirri come te saranno i primi a finire contro il muro quando la rivoluzione arriverà" |
| 25 novembre | **Trovato ha il primo incubo** con Teresa che gli ordina di salvare il bambino | Trovato | Inizio della disintegrazione psicologica |
| 26 novembre | **Corsaro arriva in Sicilia** | Menzionato nella linea Trovato | Si nasconde nel suo paese natale |
| 27 novembre | **Scoperta di un diario in cui Teresa annotava sospetti su Corsaro** | Fosco | Longhi consegna il diario a Fosco: "La signora Teresa notava tutto" |
| 28 novembre 1945 | **Enrico Moretti, mugnaio locale, scopre i corpi nella cisterna** | Fosco | Fosco: "Non sono scappati. Non sono mai usciti dalla cascina" |
| 28 novembre | **Annina identifica il corpo di Renato** | Fosco | Nota il bottone mancante della giacca: "Avrei dovuto rammendarlo..." |
| 29 novembre | **Autopsia delle vittime** condotta con l'assistenza di Viola | Fosco | Violenza estrema delle lesioni, tutte inferte con oggetti contundenti |
| 29 novembre | **Corsaro viene assassinato in Sicilia** in un regolamento di conti | Menzionato più tardi | Notizia che arriverà a Torino solo a gennaio |
| 30 novembre | **La Polizia Militare diffonde la teoria di Carmelo Vitale "il Boia"** | Fosco | Marshall insiste sulla pista di "ex partigiani siciliani" |
| 1 dicembre 1945 | **Funerali delle vittime** a Villarbasse | Fosco | Maria Grazia affronta pubblicamente Clara Montanari accusandola di speculare sul dolore |
| 2 dicembre | **Fosco inizia a dubitare della pista partigiana** | Fosco | Incontra in segreto Maria Grazia per raccogliere informazioni sui fratelli |
| 3 dicembre | **Marshall ordina a Fosco di concentrarsi sui Battaglia** | Fosco | "Abbiamo due comunisti in cella. È più che sufficiente per chiudere il caso" |
| 5 dicembre | **Marino e Rizzo lasciano Torino** temendo di essere scoperti | Menzionato nella linea Trovato | Si dirigono verso Milano usando nomi falsi |
| 10 dicembre 1945 | **Alcide De Gasperi forma il suo primo governo** | Menzione nei dialoghi di Fosco | Cravero: "Cambia il suonatore, ma la musica è sempre la stessa" |
| 15 dicembre | **Trovato tenta di contattare Corsaro** senza successo | Trovato | Aumenta la sua paranoia: "Sanno tutto. Mi stanno cercando" |
| 20 dicembre | **Fosco dimostra che Vitale era in Sicilia** al momento dei fatti | Fosco | Primo colpo alla teoria della Polizia Militare |
| 24 dicembre | **Vigilia di Natale** - Fosco visita Annina che ora si prende cura di Pierino | Fosco | Il bambino è ancora muto, ma ha iniziato a disegnare ossessivamente |
| 31 dicembre 1945 | **La Polizia Militare Alleata cessa ufficialmente** le sue funzioni in Italia | Fosco | Marshall ritira il supporto all'indagine: "È un vostro problema ora" |

## LE INDAGINI DI FOSCO (GENNAIO-MARZO 1946)

| Data | Evento | Linea narrativa | Note/Contesto |
|------|--------|-----------------|--------------|
| 4 gennaio 1946 | **Fosco riprende ufficialmente l'indagine** senza interferenze alleate | Fosco | Continua a investigare sulla pista del bottone |
| 10 gennaio | **Fosco scopre il vero significato dello spillone di Teresa** | Fosco | Berto rivela la storia di Michele: "Il piccolo raccolse questa foglia nel bosco due giorni prima che la febbre lo prendesse" |
| 15 gennaio | **Notizia dell'omicidio di Corsaro** raggiunge Torino | Fosco/Trovato | Fosco nota il cognome siciliano e inizia a sospettare un collegamento |
| 20 gennaio | **Trovato commette un furto minore** in stato confusionale | Trovato | Viene identificato da un testimone ma riesce a fuggire |
| 25 gennaio | **Fosco interroga di nuovo Umberto Longhi** | Fosco | Longhi consegna lettere trovate nello studio di Monteforte che rivelano contatti con siciliani in cerca di lavoro |
| 1 febbraio 1946 | **Giuseppe e Carlo Battaglia vengono rilasciati** per mancanza di prove | Fosco | Maria Grazia: "La verità vi ha trovato, anche se voi non volevate trovarla" |
| 5 febbraio | **Fosco visita la sorella di Corsaro in Sicilia** | Fosco | Scopre che Corsaro si era presentato alla cascina Monteforte come lavorante |
| 10 febbraio | **Annina ricorda di aver visto uno degli assalitori** in ospedale - Giovanni Trovato | Fosco | "Era lui... era nella mia stanza in ospedale. E quella donna, Immacolata... era sua sorella" |
| 12 febbraio | **Fosco ottiene foto segnaletica di Trovato** da vecchi fascicoli | Fosco | La mostra a Pierino che ha una forte reazione emotiva |
| 15 febbraio | **Trovato, consumato dai rimorsi**, vaga per Torino sotto la neve | Trovato | I suoi incubi con Teresa sono sempre più frequenti e dettagliati |
| 28 febbraio | **Trovato viene arrestato** per un tentativo di furto in una drogheria | Fosco/Trovato | Fosco viene chiamato immediatamente per l'interrogatorio |
| 1 marzo 1946 | **Primo interrogatorio di Trovato** - Fosco gli mostra lo spillone d'argento | Fosco/Trovato | "Teresa Conti portava questo al petto quando l'hai uccisa. Era un regalo di suo figlio, morto a tre anni" |
| 2 marzo | **Trovato confessa** rivelando i nomi di Marino e Rizzo | Fosco/Trovato | "Non volevo uccidere nessuno. Era solo una rapina..." |
| 5 marzo | **Arresto di Marino e Rizzo a Milano** | Fosco | Negano tutto ma vengono identificati da Pierino |
| 10 marzo | **Fosco trova una tessera annonaria** parzialmente bruciata a nome di Trovato in un appartamento a Rivoli | Fosco | Prova definitiva che collega Trovato alla strage |
| 15 marzo | **Incriminazione formale** di Trovato, Marino e Rizzo | Fosco | La notizia fa scalpore sui giornali nazionali |
| 20 marzo | **Pierino parla per la prima volta** dopo mesi di silenzio | Fosco | Dice a Fosco: "L'uomo cattivo voleva farmi male. L'altro ha detto no." |
| 25 marzo | **Fosco visita Immacolata Trovato** | Fosco | Le comunica l'arresto del fratello, trova una tragica somiglianza tra il figlio di lei e Pierino |

## IL PROCESSO E L'ESECUZIONE (APRILE 1946 - MARZO 1947)

| Data | Evento | Linea narrativa | Note/Contesto |
|------|--------|-----------------|--------------|
| 1 aprile 1946 | **Inizio del processo** a Trovato, Marino e Rizzo | Fosco | Grande attenzione mediatica, Clara Montanari in prima fila |
| 2 aprile | **Testimonianza di Fosco** in tribunale | Fosco | Descrive metodicamente la sua indagine e le prove raccolte |
| 3 aprile | **Testimonianza di Pierino** attraverso un giudice | Fosco | Conferma che Trovato lo ha protetto da Marino |
| 5 aprile | **Confessione completa di Trovato in aula** | Trovato | "Non c'è perdono per quello che ho fatto. Ma il bambino... il bambino doveva vivere" |
| 10 aprile | **Inizia in Italia la campagna per il referendum istituzionale** | Menzione in radio | Contrasto tra la ricostruzione democratica e l'orrore del processo |
| 20 aprile | **Arringhe finali della difesa e dell'accusa** | Fosco | L'accusa chiede la pena capitale per tutti e tre |
| 30 aprile | **Sentenza: condanna a morte** per Trovato, Marino e Rizzo | Fosco/Trovato | Primo caso del dopoguerra in cui viene applicata la pena di morte per un reato comune |
| 2 giugno 1946 | **Referendum istituzionale** - Vittoria della Repubblica | Menzione in tutte le linee | Anna Vercelli aveva previsto che Angelica avrebbe potuto votare in futuro |
| 15 giugno | **Appello dei condannati respinto** | Fosco/Trovato | Fosco visita Trovato in carcere: "Chiedevi sempre di Pierino. Sta bene" |
| 22 giugno 1946 | **Amnistia Togliatti** per reati politici | Fosco | Aumenta il contrasto con la severità verso i criminali comuni |
| 10 settembre | **Richiesta di grazia respinta** dal Presidente De Nicola | Menzionato da Fosco | Ultimo tentativo legale fallito |
| 15 ottobre | **Trovato scrive una lettera alla sorella** | Trovato | "Perdona tuo fratello. Non lasciare che il bambino sappia mai chi era suo zio" |
| 1 dicembre | **Fosco incontra Clara Montanari** per l'ultima volta | Fosco | Lei rivela frammenti del suo passato nella Resistenza, unico momento di autentica vulnerabilità |
| 15 gennaio 1947 | **Data dell'esecuzione fissata** | Fosco/Trovato | Fosco riceve l'ordine di assistere come rappresentante ufficiale |
| 1 febbraio | **Ultima visita di Fosco a Trovato** | Fosco/Trovato | Trovato chiede di vedere una foto di Pierino: "Almeno qualcosa di buono è rimasto" |
| 15 febbraio | **Annina porta Pierino a vedere il mare** per la prima volta | Menzione da Fosco | Tentativo di ricostruire una vita normale per il bambino |
| 1 marzo | **Preparativi per l'esecuzione** al poligono di tiro delle Basse di Stura | Fosco/Trovato | Fosco osserva i preparativi con disgusto e fascino |
| 3 marzo | **Ultima notte di Trovato** | Trovato | Raggiunge una strana pace, come se la fine imminente fosse un sollievo |
| 4 marzo 1947 | **Esecuzione mediante fucilazione** di Trovato, Marino e Rizzo | Fosco/Trovato | Trovato muore stringendo la foto di Pierino |
| 4 marzo, sera | **Fosco visita Viola Ramonda** | Fosco | Lei gli chiede: "È stata giustizia questa?" - Fosco non ha risposta |
| 5 marzo | **Articolo di Clara Montanari** sull'esecuzione | Fosco | Per la prima volta, non distorce i fatti: "Si è chiuso un capitolo di orrore nell'Italia che cerca di rinascere" |
| 20 marzo | **Fosco ritorna alla cascina Monteforte** | Fosco | Ora trasformata in cooperativa agricola gestita da Longhi per conto di Pierino e Angelica |
| 1 aprile | **Fosco viene trasferito a Milano** | Fosco | Nel suo ultimo giorno a Torino, visita le tombe delle vittime |
| 1 gennaio 1948 | **Entra in vigore la Costituzione italiana** che abolisce la pena di morte | Epilogo | I tre giustiziati di Villarbasse restano gli ultimi condannati a morte per reati comuni nell'Italia repubblicana |

## EVENTI CONTESTUALI E RIFERIMENTI CULTURALI

| Data | Evento | Rilevanza nella narrazione |
|------|--------|---------------------------|
| 21 ottobre 1945 | **Giro di Lombardia** vinto da Mario Ricci | Antonio Falchero lo ascolta alla radio commentando: "Una volta seguivo il ciclismo. Ora non ho più tempo per queste sciocchezze" |
| 27 settembre 1945 | **Roma città aperta** di Rossellini esce nelle sale | Nel novembre '45 è ancora proiettato a Torino; Cravero si rifiuta di vederlo: "Non sopporto questa propaganda rossa" |
| 14 ottobre 1945 | **Primo derby Juventus-Torino** del dopoguerra (2-1) | Tra gli effetti personali di Marcellino, Fosco trova un ritaglio di giornale su questa partita |
| Novembre 1945 | **Ondata di freddo eccezionale** colpisce il Nord Italia | La notte della strage, la temperatura scende sotto zero, creando un contrasto tra il calore della cena e il gelo esterno |
| 16 novembre 1945 | **De Gasperi forma il suo primo governo** | La notizia viene data alla radio durante la cena alla cascina |
| 20-22 novembre 1945 | **Processo di Norimberga inizia** | La notizia arriva sui giornali proprio mentre si scopre la strage, creando un parallelo tra crimini di guerra e criminali comuni |
| 22 novembre 1945 | **Nozze di Fausto Coppi** con Bruna Ciampolini | La notizia viene data alla radio mentre Trovato si nasconde dopo la strage |
| 27 novembre 1945 | **Accordo economico tra Italia e USA** | Marshall lo menziona a Fosco: "I vostri comunisti
